cond,az,v,r,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
real,15,1.0,0.45,2,2.3636589215393493,-2.5981219102923925,-1.304369745561738,-64.14798012626368,0.6996268059464459,0.0761904761904762,0.8238024998896455,200
nobrain,15,2.0,0.2,0,4.035896666595586e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,15,2.0,0.2,0,2.180560525430818,-2.7137587454023233,-1.7808439522401123,-100.39385681471113,1.0,0.20389341743743347,1.0,240
real,15,2.0,0.2,1,2.2094542390959515,-2.736958802010588,-1.8564838640498704,-102.13837716051734,1.0,0.20753685873358585,0.9384655006309862,221
real,15,2.0,0.2,2,2.1763471833707593,-2.7090203105255446,-1.8445721319128934,-103.4541354816084,1.0,0.2099220228884582,0.9958947675165795,252
nobrain,15,2.0,0.3,0,4.035896666595586e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,15,2.0,0.3,0,2.410827173815447,-2.9273327642375704,-1.8580570007157198,-95.12547565224281,1.0,0.19376127093553894,0.9653616991572133,240
real,15,2.0,0.3,1,2.3258288295795415,-2.839650059653416,-1.7525597900307133,-92.27461789749158,1.0,0.18824985414754394,0.9905660015880929,233
real,15,2.0,0.3,2,2.2985383642291253,-2.800813403643194,-1.5744772498695254,-82.96341037067509,1.0,0.17033629013977467,1.0,203
nobrain,15,2.0,0.45,0,4.035896666595586e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,15,2.0,0.45,0,2.6063686358173146,-3.1201808108455147,-2.073021241274949,-100.76716554377047,1.0,0.20448668405610243,1.0,257
real,15,2.0,0.45,1,2.640289796950533,-3.1552651225374704,-2.0504005105513072,-98.02403085988254,1.0,0.19914814046146678,0.948403561719913,229
real,15,2.0,0.45,2,2.627004704506404,-3.1329083978779746,-2.179873396590203,-104.50279687725786,1.0,0.21193105432259673,1.0,281
nobrain,15,3.0,0.2,0,2.7440206452613393e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,15,3.0,0.2,0,1.7932724871842611,-2.5856733410363657,-1.8446053122236317,-109.20816344837911,1.0,0.2951092112169275,1.0,304
real,15,3.0,0.2,1,1.7291594157116004,-2.5345940587187084,-1.7662248645976946,-107.7737606988809,1.0,0.29127408938557864,1.0,312
real,15,3.0,0.2,2,1.8727547510501148,-2.6572167257917485,-1.890843521646597,-108.9377701171605,1.0,0.294263482748844,1.0,292
nobrain,15,3.0,0.3,0,2.7440206452613393e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,15,3.0,0.3,0,2.0103589137957267,-2.766558818851724,-2.0031376687253686,-111.07776634503175,1.0,0.2996182887750764,1.0,311
