cond,az,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
rand1,-30,4,1.1830381444826925,1.6664720551576522,-0.6688069791866329,59.24524396531258,0.5832504445680039,0.14380902292737321,0.0,451
rand1,-30,5,1.1636430468182646,1.6429678658509295,-0.6477587107517361,58.78793743963843,0.7826370460820312,0.14350940996577805,0.0,458
rand1,-30,6,1.1901297817683203,1.6738643010151073,-0.6700344194532191,59.120583648848005,0.8008258059932482,0.14345566389880413,0.0,426
rand1,-30,7,1.2205858952320081,1.7156050634294657,-0.75628320216923,65.10639542122435,0.7492296327668172,0.1546457729037719,0.0,447
rand1,-30,8,1.0345510650134269,1.4759120700590833,-0.5091124661994013,52.7382754125105,0.6167860702844306,0.1346810020846627,0.0,525
rand1,-30,9,1.1353396720308229,1.6116811922445387,-0.6355561459712273,59.13067849148226,0.5995743605041998,0.14481158502480546,0.0,469
rand2,30,0,0.1932210503862227,-0.26694561020054275,-0.013282907997852717,-7.537076562867052,0.13672249315976126,0.029053563192625864,0.0,550
rand2,30,1,0.2229080133824613,-0.31328238962058613,-0.019112827396782366,-9.145231685589094,0.20503066747687093,0.03228115841908573,0.0,578
rand2,30,2,0.17216180568185102,-0.24774331087172577,-0.011487835010952466,-7.546997694692789,0.16845650938856843,0.02663497600501056,0.0,590
rand2,30,3,0.16761636493514132,-0.23936312684789324,-0.011326939433788756,-6.292689161091666,0.32181588923304383,0.034956118309857766,0.0,560
rand2,30,4,0.20083331601601143,-0.29725913155001726,-0.01770821875169014,-9.402311194641417,0.12901745235830894,0.02809472230654285,0.0,552
rand2,30,5,0.20884931488062947,-0.30221789958186823,-0.017880822609282532,-9.17637744935052,0.17847429115275962,0.030383606056895676,0.0,543
rand2,30,6,0.17904273295024145,-0.2611740013035253,-0.013422274169104588,-8.1768550840238,0.1087627526820957,0.026375733442030973,0.0,541
rand2,30,7,0.15444418018123804,-0.23433934057969716,-0.010840004736992733,-7.888835368233761,0.11140969538791584,0.02748826177594686,0.0,557
rand2,30,8,0.19971324784502004,-0.2935122043017841,-0.01711934042392541,-9.037002531365273,0.0997039900945977,0.027853600464805756,0.0,571
rand2,30,9,0.21306336277803728,-0.3179157620818676,-0.02069605998733615,-10.029102140513354,0.09083732282201933,0.02869047095893598,0.0,542
rand2,-30,0,0.1366099731828564,-0.16598200831496393,-0.0037999794602363176,-3.6335528897019165,0.076754461295093,0.02051932168872056,0.0,619
rand2,-30,1,0.17334652164526984,-0.22131260630858637,-0.007926305736997524,-5.4170748054550195,0.06371209788758135,0.023755277135715857,0.0,624
rand2,-30,2,0.13200726693062126,-0.14986945777614707,-0.002858089386927289,-2.6811455459057822,0.0747425932882701,0.022038383239857025,0.0,620
rand2,-30,3,0.15433798640138252,-0.1820636209449267,-0.004721434992254144,-3.621336034707416,0.0656776336239435,0.022383142544802424,0.0,615
rand2,-30,4,0.17263945429234387,-0.21710678398293728,-0.007352888454268265,-5.10961091474611,0.0684621221488241,0.02403353031292008,0.0,637
rand2,-30,5,0.1491816049561184,-0.1758121284890124,-0.004572497667666616,-3.541366612976785,0.08305031651107747,0.022018811786962113,0.0,621
rand2,-30,6,0.1889642274857835,-0.2549436152707839,-0.011281948999447412,-6.884839530539539,0.05828568912930613,0.023195385578956857,0.0,608
rand2,-30,7,0.16966410851402328,-0.21064929774216284,-0.006929332446191802,-4.83041632150104,0.05791364254160822,0.023027116065097667,0.0,611
rand2,-30,8,0.16629076652551908,-0.2066284471518078,-0.006632036943747024,-4.787616442108634,0.08072978718724085,0.02274883115362574,0.0,602
