stim,trial,group,neuron,rate
LPLC2_L,0,MN_all_left,145063,13.0
LPLC2_L,0,MN_all_left,145081,63.0
LPLC2_L,0,MN_all_left,145109,20.0
LPLC2_L,0,MN_all_left,145142,6.0
LPLC2_L,0,MN_all_left,145198,70.0
LPLC2_L,0,MN_all_left,145274,39.0
LPLC2_L,0,MN_all_left,145303,45.0
LPLC2_L,0,MN_all_left,145351,7.0
LPLC2_L,0,MN_all_left,145382,2.0
LPLC2_L,0,MN_all_left,145405,37.0
LPLC2_L,0,MN_all_left,145438,37.0
LPLC2_L,0,MN_all_left,145476,4.0
LPLC2_L,0,MN_all_left,145483,4.0
LPLC2_L,0,MN_all_left,145564,4.0
LPLC2_L,0,MN_all_left,145660,2.0
LPLC2_L,0,MN_all_left,145672,11.0
LPLC2_L,0,MN_all_left,145732,13.0
LPLC2_L,0,MN_all_left,145766,14.0
LPLC2_L,0,MN_all_left,145796,98.0
LPLC2_L,0,MN_all_left,145805,30.0
LPLC2_L,0,MN_all_left,145911,60.0
LPLC2_L,0,MN_all_left,145975,43.0
LPLC2_L,0,MN_all_left,146072,30.0
LPLC2_L,0,MN_all_left,146107,29.0
LPLC2_L,0,MN_all_left,146233,3.0
LPLC2_L,0,MN_all_left,146333,18.0
LPLC2_L,0,MN_all_left,146441,1.0
LPLC2_L,0,MN_all_left,146494,23.0
LPLC2_L,0,MN_all_left,146498,2.0
LPLC2_L,0,MN_all_left,146507,6.0
LPLC2_L,0,MN_all_left,146556,17.0
LPLC2_L,0,MN_all_left,146571,5.0
LPLC2_L,0,MN_all_left,146590,10.0
LPLC2_L,0,MN_all_left,146748,98.0
LPLC2_L,0,MN_all_left,146821,3.0
LPLC2_L,0,MN_all_left,147006,2.0
LPLC2_L,0,MN_all_left,147111,5.0
LPLC2_L,0,MN_all_left,147153,59.0
LPLC2_L,0,MN_all_left,147241,44.0
LPLC2_L,0,MN_all_left,147254,31.0
LPLC2_L,0,MN_all_left,147272,15.0
LPLC2_L,0,MN_all_left,147311,19.0
LPLC2_L,0,MN_all_left,147418,1.0
LPLC2_L,0,MN_all_left,147444,13.0
LPLC2_L,0,MN_all_left,147449,27.0
LPLC2_L,0,MN_all_left,147492,45.0
LPLC2_L,0,MN_all_left,147569,31.0
LPLC2_L,0,MN_all_left,147690,18.0
LPLC2_L,0,MN_all_left,147730,25.0
LPLC2_L,0,MN_all_left,147938,2.0
LPLC2_L,0,MN_all_left,147977,3.0
LPLC2_L,0,MN_all_left,148076,3.0
LPLC2_L,0,MN_all_left,148097,1.0
LPLC2_L,0,MN_all_left,148126,50.0
LPLC2_L,0,MN_all_left,148144,19.0
LPLC2_L,0,MN_all_left,148349,8.0
LPLC2_L,0,MN_all_left,148397,18.0
LPLC2_L,0,MN_all_left,148408,5.0
LPLC2_L,0,MN_all_left,148537,31.0
LPLC2_L,0,MN_all_left,148589,78.0
LPLC2_L,0,MN_all_left,148779,3.0
LPLC2_L,0,MN_all_left,148852,10.0
LPLC2_L,0,MN_all_left,148953,81.0
LPLC2_L,0,MN_all_left,148964,4.0
LPLC2_L,0,MN_all_left,148984,2.0
LPLC2_L,0,MN_all_left,149298,22.0
LPLC2_L,0,MN_all_left,149557,9.0
LPLC2_L,0,MN_all_left,149592,88.0
LPLC2_L,0,MN_all_left,149636,11.0
LPLC2_L,0,MN_all_left,149722,6.0
LPLC2_L,0,MN_all_left,150276,88.0
LPLC2_L,0,MN_all_left,150280,26.0
LPLC2_L,0,MN_all_left,150354,23.0
LPLC2_L,0,MN_all_left,150516,6.0
LPLC2_L,0,MN_all_left,150850,3.0
LPLC2_L,0,MN_all_left,150864,43.0
LPLC2_L,0,MN_all_left,151089,3.0
LPLC2_L,0,MN_all_left,151228,1.0
LPLC2_L,0,MN_all_left,151708,1.0
LPLC2_L,0,MN_all_left,152375,15.0
LPLC2_L,0,MN_all_left,152535,71.0
LPLC2_L,0,MN_all_left,152793,5.0
LPLC2_L,0,MN_all_left,153181,7.0
LPLC2_L,0,MN_all_left,154142,48.0
LPLC2_L,0,MN_all_left,154315,83.0
LPLC2_L,0,MN_all_left,154887,62.0
LPLC2_L,0,MN_all_left,154980,47.0
LPLC2_L,0,MN_all_left,158106,1.0
LPLC2_L,0,MN_all_left,158328,1.0
LPLC2_L,0,MN_all_left,158478,1.0
LPLC2_L,0,MN_all_left,158604,8.0
LPLC2_L,0,MN_all_left,158794,8.0
LPLC2_L,0,MN_all_left,159087,13.0
LPLC2_L,0,MN_all_left,159285,3.0
LPLC2_L,0,MN_all_left,159287,4.0
LPLC2_L,0,MN_all_left,159288,12.0
LPLC2_L,0,MN_all_left,159488,24.0
LPLC2_L,0,MN_all_left,159489,16.0
LPLC2_L,0,MN_all_left,159777,7.0
LPLC2_L,0,MN_all_left,159993,12.0
LPLC2_L,0,MN_all_left,160070,1.0
LPLC2_L,0,MN_all_left,160137,28.0
LPLC2_L,0,MN_all_left,160430,3.0
LPLC2_L,0,MN_all_left,160448,94.0
