root_id,baseline,LPLC2_L,LPLC2_R,LPLC2_both,LC4_L,LC4_R,LC4_LPLC2_L,cell_type,side
720575940621566844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg22,left
720575940614909506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge123,right
720575940626296339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge109,left
720575940606856405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge094,left
720575940635872101,0.0,7.75,0.0,0.25,0.0,0.0,15.0,DNp09,left
720575940625314058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg92_a,right
720575940637618142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe043,right
720575940629736720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNd05,right
720575940609097429,0.0,0.0,0.0,0.0,0.0,7.25,0.0,DNae005,left
720575940629490476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aSP22,left
720575940621629578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe054,right
720575940619654053,0.0,0.0,0.0,0.0,146.5,0.0,146.75,DNp02,left
720575940614137907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp104,left
720575940632422219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp38,left
720575940642549467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNb08,left
720575940619038493,0.0,91.0,110.5,123.25,12.75,6.5,81.75,DNpe042,right
720575940624874983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNae008,right
720575940640142141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp28,right
720575940609488942,0.0,2.0,0.0,0.0,0.0,0.0,0.0,DNa15,right
720575940618594117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge081,right
720575940603786686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge117,left
720575940619024542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge128,left
720575940631987364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg12_a,right
720575940615692690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp60,left
720575940628796780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe014,right
720575940641832333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg52,left
720575940611644529,0.0,62.5,51.25,98.75,44.5,1.75,74.25,DNp06,right
720575940629327659,0.0,0.0,43.75,0.0,0.0,12.75,0.0,DNa02,left
720575940615043368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp22,left
720575940627582724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp44,left
720575940631549202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg86,right
720575940638013274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe006,right
720575940637667443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg08_a,left
720575940615058216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe012,left
720575940647964281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg02_b,right
720575940611772083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg43,left
720575940618291520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge060,right
720575940626901136,0.0,123.75,88.75,140.25,29.25,31.0,138.25,DNg40,left
720575940629155227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe021,right
720575940607632579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe047,left
720575940637660733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg01,left
720575940635640312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp62,left
720575940629782072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe012,left
720575940613200706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe008,right
720575940647471395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe036,left
720575940621226484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNb04,right
